Job,Production_Plan_ID,Operation,Machine,Processing Time
17,3,0,M01,81
17,3,1,M02,95
17,3,2,M00,71
17,3,3,M04,99
17,3,4,M06,9
17,3,5,M08,52
17,3,6,M07,85
17,3,7,M03,98
17,3,8,M09,22
17,3,9,M05,43
18,5,0,M02,84
18,5,1,M01,2
18,5,2,M05,52
18,5,3,M03,95
18,5,4,M08,48
18,5,5,M09,72
18,5,6,M00,47
18,5,7,M06,65
18,5,8,M04,6
18,5,9,M07,25
19,6,0,M01,46
19,6,1,M00,37
19,6,2,M03,61
19,6,3,M02,13
19,6,4,M06,32
19,6,5,M05,21
19,6,6,M09,32
19,6,7,M08,89
19,6,8,M07,30
19,6,9,M04,55
20,7,0,M02,31
20,7,1,M00,86
20,7,2,M01,46
20,7,3,M05,74
20,7,4,M04,32
20,7,5,M06,88
20,7,6,M08,19
20,7,7,M09,48
20,7,8,M07,36
20,7,9,M03,79
21,3,0,M01,81
21,3,1,M02,95
21,3,2,M00,71
21,3,3,M04,99
21,3,4,M06,9
21,3,5,M08,52
21,3,6,M07,85
21,3,7,M03,98
21,3,8,M09,22
21,3,9,M05,43
22,2,0,M01,91
22,2,1,M00,85
22,2,2,M03,39
22,2,3,M02,74
22,2,4,M08,90
22,2,5,M05,10
22,2,6,M07,12
22,2,7,M06,89
22,2,8,M09,45
22,2,9,M04,33
23,8,0,M00,76
23,8,1,M01,69
23,8,2,M03,76
23,8,3,M05,51
23,8,4,M02,85
23,8,5,M09,11
23,8,6,M06,40
23,8,7,M07,89
23,8,8,M04,26
23,8,9,M08,74
24,5,0,M02,84
24,5,1,M01,2
24,5,2,M05,52
24,5,3,M03,95
24,5,4,M08,48
24,5,5,M09,72
24,5,6,M00,47
24,5,7,M06,65
24,5,8,M04,6
24,5,9,M07,25
25,6,0,M01,46
25,6,1,M00,37
25,6,2,M03,61
25,6,3,M02,13
25,6,4,M06,32
25,6,5,M05,21
25,6,6,M09,32
25,6,7,M08,89
25,6,8,M07,30
25,6,9,M04,55
26,9,0,M01,85
26,9,1,M00,13
26,9,2,M02,61
26,9,3,M06,7
26,9,4,M08,64
26,9,5,M09,76
26,9,6,M05,47
26,9,7,M03,52
26,9,8,M04,90
26,9,9,M07,45
27,4,0,M02,14
27,4,1,M00,6
27,4,2,M01,22
27,4,3,M05,61
27,4,4,M03,26
27,4,5,M04,69
27,4,6,M08,21
27,4,7,M07,49
27,4,8,M09,72
27,4,9,M06,53
28,0,0,M00,29
28,0,1,M01,78
28,0,2,M02,9
28,0,3,M03,36
28,0,4,M04,49
28,0,5,M05,11
28,0,6,M06,62
28,0,7,M07,56
28,0,8,M08,44
28,0,9,M09,21
29,1,0,M00,43
29,1,1,M02,90
29,1,2,M04,75
29,1,3,M09,11
29,1,4,M03,69
29,1,5,M01,28
29,1,6,M06,46
29,1,7,M05,46
29,1,8,M07,72
29,1,9,M08,30
30,8,0,M00,76
30,8,1,M01,69
30,8,2,M03,76
30,8,3,M05,51
30,8,4,M02,85
30,8,5,M09,11
30,8,6,M06,40
30,8,7,M07,89
30,8,8,M04,26
30,8,9,M08,74
31,1,0,M00,43
31,1,1,M02,90
31,1,2,M04,75
31,1,3,M09,11
31,1,4,M03,69
31,1,5,M01,28
31,1,6,M06,46
31,1,7,M05,46
31,1,8,M07,72
31,1,9,M08,30
32,5,0,M02,84
32,5,1,M01,2
32,5,2,M05,52
32,5,3,M03,95
32,5,4,M08,48
32,5,5,M09,72
32,5,6,M00,47
32,5,7,M06,65
32,5,8,M04,6
32,5,9,M07,25
33,6,0,M01,46
33,6,1,M00,37
33,6,2,M03,61
33,6,3,M02,13
33,6,4,M06,32
33,6,5,M05,21
33,6,6,M09,32
33,6,7,M08,89
33,6,8,M07,30
33,6,9,M04,55
34,9,0,M01,85
34,9,1,M00,13
34,9,2,M02,61
34,9,3,M06,7
34,9,4,M08,64
34,9,5,M09,76
34,9,6,M05,47
34,9,7,M03,52
34,9,8,M04,90
34,9,9,M07,45
35,7,0,M02,31
35,7,1,M00,86
35,7,2,M01,46
35,7,3,M05,74
35,7,4,M04,32
35,7,5,M06,88
35,7,6,M08,19
35,7,7,M09,48
35,7,8,M07,36
35,7,9,M03,79
36,3,0,M01,81
36,3,1,M02,95
36,3,2,M00,71
36,3,3,M04,99
36,3,4,M06,9
36,3,5,M08,52
36,3,6,M07,85
36,3,7,M03,98
36,3,8,M09,22
36,3,9,M05,43
37,2,0,M01,91
37,2,1,M00,85
37,2,2,M03,39
37,2,3,M02,74
37,2,4,M08,90
37,2,5,M05,10
37,2,6,M07,12
37,2,7,M06,89
37,2,8,M09,45
37,2,9,M04,33
38,4,0,M02,14
38,4,1,M00,6
38,4,2,M01,22
38,4,3,M05,61
38,4,4,M03,26
38,4,5,M04,69
38,4,6,M08,21
38,4,7,M07,49
38,4,8,M09,72
38,4,9,M06,53
39,0,0,M00,29
39,0,1,M01,78
39,0,2,M02,9
39,0,3,M03,36
39,0,4,M04,49
39,0,5,M05,11
39,0,6,M06,62
39,0,7,M07,56
39,0,8,M08,44
39,0,9,M09,21
40,4,0,M02,14
40,4,1,M00,6
40,4,2,M01,22
40,4,3,M05,61
40,4,4,M03,26
40,4,5,M04,69
40,4,6,M08,21
40,4,7,M07,49
40,4,8,M09,72
40,4,9,M06,53
41,5,0,M02,84
41,5,1,M01,2
41,5,2,M05,52
41,5,3,M03,95
41,5,4,M08,48
41,5,5,M09,72
41,5,6,M00,47
41,5,7,M06,65
41,5,8,M04,6
41,5,9,M07,25
42,0,0,M00,29
42,0,1,M01,78
42,0,2,M02,9
42,0,3,M03,36
42,0,4,M04,49
42,0,5,M05,11
42,0,6,M06,62
42,0,7,M07,56
42,0,8,M08,44
42,0,9,M09,21
43,2,0,M01,91
43,2,1,M00,85
43,2,2,M03,39
43,2,3,M02,74
43,2,4,M08,90
43,2,5,M05,10
43,2,6,M07,12
43,2,7,M06,89
43,2,8,M09,45
43,2,9,M04,33
44,9,0,M01,85
44,9,1,M00,13
44,9,2,M02,61
44,9,3,M06,7
44,9,4,M08,64
44,9,5,M09,76
44,9,6,M05,47
44,9,7,M03,52
44,9,8,M04,90
44,9,9,M07,45
45,3,0,M01,81
45,3,1,M02,95
45,3,2,M00,71
45,3,3,M04,99
45,3,4,M06,9
45,3,5,M08,52
45,3,6,M07,85
45,3,7,M03,98
45,3,8,M09,22
45,3,9,M05,43
46,7,0,M02,31
46,7,1,M00,86
46,7,2,M01,46
46,7,3,M05,74
46,7,4,M04,32
46,7,5,M06,88
46,7,6,M08,19
46,7,7,M09,48
46,7,8,M07,36
46,7,9,M03,79
47,1,0,M00,43
47,1,1,M02,90
47,1,2,M04,75
47,1,3,M09,11
47,1,4,M03,69
47,1,5,M01,28
47,1,6,M06,46
47,1,7,M05,46
47,1,8,M07,72
47,1,9,M08,30
48,8,0,M00,76
48,8,1,M01,69
48,8,2,M03,76
48,8,3,M05,51
48,8,4,M02,85
48,8,5,M09,11
48,8,6,M06,40
48,8,7,M07,89
48,8,8,M04,26
48,8,9,M08,74
49,6,0,M01,46
49,6,1,M00,37
49,6,2,M03,61
49,6,3,M02,13
49,6,4,M06,32
49,6,5,M05,21
49,6,6,M09,32
49,6,7,M08,89
49,6,8,M07,30
49,6,9,M04,55
50,1,0,M00,43
50,1,1,M02,90
50,1,2,M04,75
50,1,3,M09,11
50,1,4,M03,69
50,1,5,M01,28
50,1,6,M06,46
50,1,7,M05,46
50,1,8,M07,72
50,1,9,M08,30
51,3,0,M01,81
51,3,1,M02,95
51,3,2,M00,71
51,3,3,M04,99
51,3,4,M06,9
51,3,5,M08,52
51,3,6,M07,85
51,3,7,M03,98
51,3,8,M09,22
51,3,9,M05,43
52,5,0,M02,84
52,5,1,M01,2
52,5,2,M05,52
52,5,3,M03,95
52,5,4,M08,48
52,5,5,M09,72
52,5,6,M00,47
52,5,7,M06,65
52,5,8,M04,6
52,5,9,M07,25
53,9,0,M01,85
53,9,1,M00,13
53,9,2,M02,61
53,9,3,M06,7
53,9,4,M08,64
53,9,5,M09,76
53,9,6,M05,47
53,9,7,M03,52
53,9,8,M04,90
53,9,9,M07,45
54,8,0,M00,76
54,8,1,M01,69
54,8,2,M03,76
54,8,3,M05,51
54,8,4,M02,85
54,8,5,M09,11
54,8,6,M06,40
54,8,7,M07,89
54,8,8,M04,26
54,8,9,M08,74
55,0,0,M00,29
55,0,1,M01,78
55,0,2,M02,9
55,0,3,M03,36
55,0,4,M04,49
55,0,5,M05,11
55,0,6,M06,62
55,0,7,M07,56
55,0,8,M08,44
55,0,9,M09,21
56,2,0,M01,91
56,2,1,M00,85
56,2,2,M03,39
56,2,3,M02,74
56,2,4,M08,90
56,2,5,M05,10
56,2,6,M07,12
56,2,7,M06,89
56,2,8,M09,45
56,2,9,M04,33
57,7,0,M02,31
57,7,1,M00,86
57,7,2,M01,46
57,7,3,M05,74
57,7,4,M04,32
57,7,5,M06,88
57,7,6,M08,19
57,7,7,M09,48
57,7,8,M07,36
57,7,9,M03,79
58,6,0,M01,46
58,6,1,M00,37
58,6,2,M03,61
58,6,3,M02,13
58,6,4,M06,32
58,6,5,M05,21
58,6,6,M09,32
58,6,7,M08,89
58,6,8,M07,30
58,6,9,M04,55
59,4,0,M02,14
59,4,1,M00,6
59,4,2,M01,22
59,4,3,M05,61
59,4,4,M03,26
59,4,5,M04,69
59,4,6,M08,21
59,4,7,M07,49
59,4,8,M09,72
59,4,9,M06,53
60,3,0,M01,81
60,3,1,M02,95
60,3,2,M00,71
60,3,3,M04,99
60,3,4,M06,9
60,3,5,M08,52
60,3,6,M07,85
60,3,7,M03,98
60,3,8,M09,22
60,3,9,M05,43
61,7,0,M02,31
61,7,1,M00,86
61,7,2,M01,46
61,7,3,M05,74
61,7,4,M04,32
61,7,5,M06,88
61,7,6,M08,19
61,7,7,M09,48
61,7,8,M07,36
61,7,9,M03,79
62,2,0,M01,91
62,2,1,M00,85
62,2,2,M03,39
62,2,3,M02,74
62,2,4,M08,90
62,2,5,M05,10
62,2,6,M07,12
62,2,7,M06,89
62,2,8,M09,45
62,2,9,M04,33
63,5,0,M02,84
63,5,1,M01,2
63,5,2,M05,52
63,5,3,M03,95
63,5,4,M08,48
63,5,5,M09,72
63,5,6,M00,47
63,5,7,M06,65
63,5,8,M04,6
63,5,9,M07,25
64,9,0,M01,85
64,9,1,M00,13
64,9,2,M02,61
64,9,3,M06,7
64,9,4,M08,64
64,9,5,M09,76
64,9,6,M05,47
64,9,7,M03,52
64,9,8,M04,90
64,9,9,M07,45
65,8,0,M00,76
65,8,1,M01,69
65,8,2,M03,76
65,8,3,M05,51
65,8,4,M02,85
65,8,5,M09,11
65,8,6,M06,40
65,8,7,M07,89
65,8,8,M04,26
65,8,9,M08,74
66,4,0,M02,14
66,4,1,M00,6
66,4,2,M01,22
66,4,3,M05,61
66,4,4,M03,26
66,4,5,M04,69
66,4,6,M08,21
66,4,7,M07,49
66,4,8,M09,72
66,4,9,M06,53
67,0,0,M00,29
67,0,1,M01,78
67,0,2,M02,9
67,0,3,M03,36
67,0,4,M04,49
67,0,5,M05,11
67,0,6,M06,62
67,0,7,M07,56
67,0,8,M08,44
67,0,9,M09,21
68,6,0,M01,46
68,6,1,M00,37
68,6,2,M03,61
68,6,3,M02,13
68,6,4,M06,32
68,6,5,M05,21
68,6,6,M09,32
68,6,7,M08,89
68,6,8,M07,30
68,6,9,M04,55
69,1,0,M00,43
69,1,1,M02,90
69,1,2,M04,75
69,1,3,M09,11
69,1,4,M03,69
69,1,5,M01,28
69,1,6,M06,46
69,1,7,M05,46
69,1,8,M07,72
69,1,9,M08,30
70,0,0,M00,29
70,0,1,M01,78
70,0,2,M02,9
70,0,3,M03,36
70,0,4,M04,49
70,0,5,M05,11
70,0,6,M06,62
70,0,7,M07,56
70,0,8,M08,44
70,0,9,M09,21
71,9,0,M01,85
71,9,1,M00,13
71,9,2,M02,61
71,9,3,M06,7
71,9,4,M08,64
71,9,5,M09,76
71,9,6,M05,47
71,9,7,M03,52
71,9,8,M04,90
71,9,9,M07,45
72,8,0,M00,76
72,8,1,M01,69
72,8,2,M03,76
72,8,3,M05,51
72,8,4,M02,85
72,8,5,M09,11
72,8,6,M06,40
72,8,7,M07,89
72,8,8,M04,26
72,8,9,M08,74
73,2,0,M01,91
73,2,1,M00,85
73,2,2,M03,39
73,2,3,M02,74
73,2,4,M08,90
73,2,5,M05,10
73,2,6,M07,12
73,2,7,M06,89
73,2,8,M09,45
73,2,9,M04,33
74,7,0,M02,31
74,7,1,M00,86
74,7,2,M01,46
74,7,3,M05,74
74,7,4,M04,32
74,7,5,M06,88
74,7,6,M08,19
74,7,7,M09,48
74,7,8,M07,36
74,7,9,M03,79
75,3,0,M01,81
75,3,1,M02,95
75,3,2,M00,71
75,3,3,M04,99
75,3,4,M06,9
75,3,5,M08,52
75,3,6,M07,85
75,3,7,M03,98
75,3,8,M09,22
75,3,9,M05,43
76,4,0,M02,14
76,4,1,M00,6
76,4,2,M01,22
76,4,3,M05,61
76,4,4,M03,26
76,4,5,M04,69
76,4,6,M08,21
76,4,7,M07,49
76,4,8,M09,72
76,4,9,M06,53
77,6,0,M01,46
77,6,1,M00,37
77,6,2,M03,61
77,6,3,M02,13
77,6,4,M06,32
77,6,5,M05,21
77,6,6,M09,32
77,6,7,M08,89
77,6,8,M07,30
77,6,9,M04,55
78,1,0,M00,43
78,1,1,M02,90
78,1,2,M04,75
78,1,3,M09,11
78,1,4,M03,69
78,1,5,M01,28
78,1,6,M06,46
78,1,7,M05,46
78,1,8,M07,72
78,1,9,M08,30
79,5,0,M02,84
79,5,1,M01,2
79,5,2,M05,52
79,5,3,M03,95
79,5,4,M08,48
79,5,5,M09,72
79,5,6,M00,47
79,5,7,M06,65
79,5,8,M04,6
79,5,9,M07,25
80,1,0,M00,43
80,1,1,M02,90
80,1,2,M04,75
80,1,3,M09,11
80,1,4,M03,69
80,1,5,M01,28
80,1,6,M06,46
80,1,7,M05,46
80,1,8,M07,72
80,1,9,M08,30
81,0,0,M00,29
81,0,1,M01,78
81,0,2,M02,9
81,0,3,M03,36
81,0,4,M04,49
81,0,5,M05,11
81,0,6,M06,62
81,0,7,M07,56
81,0,8,M08,44
81,0,9,M09,21
82,3,0,M01,81
82,3,1,M02,95
82,3,2,M00,71
82,3,3,M04,99
82,3,4,M06,9
82,3,5,M08,52
82,3,6,M07,85
82,3,7,M03,98
82,3,8,M09,22
82,3,9,M05,43
83,7,0,M02,31
83,7,1,M00,86
83,7,2,M01,46
83,7,3,M05,74
83,7,4,M04,32
83,7,5,M06,88
83,7,6,M08,19
83,7,7,M09,48
83,7,8,M07,36
83,7,9,M03,79
84,6,0,M01,46
84,6,1,M00,37
84,6,2,M03,61
84,6,3,M02,13
84,6,4,M06,32
84,6,5,M05,21
84,6,6,M09,32
84,6,7,M08,89
84,6,8,M07,30
84,6,9,M04,55
85,9,0,M01,85
85,9,1,M00,13
85,9,2,M02,61
85,9,3,M06,7
85,9,4,M08,64
85,9,5,M09,76
85,9,6,M05,47
85,9,7,M03,52
85,9,8,M04,90
85,9,9,M07,45
86,4,0,M02,14
86,4,1,M00,6
86,4,2,M01,22
86,4,3,M05,61
86,4,4,M03,26
86,4,5,M04,69
86,4,6,M08,21
86,4,7,M07,49
86,4,8,M09,72
86,4,9,M06,53
87,2,0,M01,91
87,2,1,M00,85
87,2,2,M03,39
87,2,3,M02,74
87,2,4,M08,90
87,2,5,M05,10
87,2,6,M07,12
87,2,7,M06,89
87,2,8,M09,45
87,2,9,M04,33
88,5,0,M02,84
88,5,1,M01,2
88,5,2,M05,52
88,5,3,M03,95
88,5,4,M08,48
88,5,5,M09,72
88,5,6,M00,47
88,5,7,M06,65
88,5,8,M04,6
88,5,9,M07,25
